FOLDER	AUTHORID	PRECISION	RECALL	F1
4664	0F984244	0.4335	0.8523	0.5747
3962	05DE873C	0.4371	0.8843	0.585
5099	1052A93C	0.1096	0.8991	0.1954
905	116B301F	0.3223	0.7823	0.4565
5309	17DD913B	0.0406	0.9647	0.0779
3982	017695AF	0.3161	0.7237	0.44
5751	0817C021	0.9571	0.7614	0.8481
10688	167719C1	0.4579	0.8718	0.6004
4694	11FDAB7C	0.2426	0.8397	0.3764
1781	109380AA	0.0709	0.8704	0.1311
5968	19BD7565	0.7569	0.9732	0.8516
346	176A5A55	0.7853	0.9697	0.8678
5299	125D2913	0.1459	0.9797	0.2539
94	08EAE577	0.1965	0.955	0.3259
911	16350968	0.1765	0.2143	0.1935
4451	118D6A3B	0.4341	0.9333	0.5926
4623	19C8E072	0.963	0.8125	0.8814
3663	16FB9224	0.2526	0.8989	0.3944
1481	150E2F0C	0.4179	0.8697	0.5646
4119	051D7154	0.7703	0.9194	0.8382
11868	1738E37E	0.1631	0.9605	0.2789
320	171CC4C3	0.339	0.9297	0.4969
936	16BD957F	0.7905	0.7981	0.7943
4343	12814B4F	0.1703	0.8915	0.2859
5404	16C1E4ED	0.8025	0.9009	0.8489
3819	1974B302	0.4646	0.9219	0.6178
2898	0BF9E3E3	0.8955	0.8824	0.8889
5398	130C1E62	0.2885	0.9196	0.4392
3124	17DC546D	0.4349	0.9296	0.5926
5486	0F8F17E5	0.1557	0.9438	0.2673
5567	09D2A7EB	0.4084	0.9071	0.5632
4304	01FF6BD9	0.0895	0.8558	0.1621
3935	1638F0F6	0.2055	0.9156	0.3356
3585	0C73BC58	0.9014	0.8889	0.8951
2468	045F657C	0.9162	0.9535	0.9345
25765	0FC484F3	0.2402	0.9281	0.3817
867	10BDBABD	0.8197	0.8929	0.8547
2096	18C0E43F	0.4138	0.8873	0.5644
3423	124354EA	0.2533	0.9356	0.3987
241	168FD11A	0.2774	0.9214	0.4264
963	183699C0	0.3943	0.9432	0.5561
8675	19EBEA94	0.9268	0.8636	0.8941
2700	15D2F42B	0.6901	0.9423	0.7967
5818	1734E0F3	0.7397	0.931	0.8244
1044	18C0F85F	0.9268	0.95	0.9383
2934	166A455E	0.1822	0.9302	0.3048
2060	0CBB3E78	0.4557	0.9474	0.6154
832	151D3EE6	0.9231	0.9	0.9114
4258	03A7C4CB	0.6374	0.9063	0.7484
3441	16C4BDFA	0.1207	0.815	0.2103
1220	0995D1AB	0.8288	0.8519	0.8402
696	17B6A078	0.295	0.7743	0.4272
3531	0FBFE54A	0.3584	0.9628	0.5224
5940	1947666F	0.364	0.7768	0.4957
8397	02D5C465	0.1617	0.9471	0.2763
14320	1577975F	0.4171	0.9022	0.5704
2614	1974CA85	0.86	0.9773	0.9149
475	1964970A	0.1141	0.8936	0.2023
4903	0FDCF650	0.8642	0.9211	0.8917
3158	184E0F51	0.3244	0.9125	0.4787
1000	0D41E825	0.1295	0.9561	0.2282
4161	1962C8FB	0.1255	0.8904	0.2199
5950	199A339D	0.8542	0.7885	0.82
5863	0CAECE28	0.1066	0.8264	0.1889
2734	166B5E61	0.4187	0.787	0.5466
2103	063239D3	0.1708	0.9177	0.288
4718	156ED3AB	0.1152	0.9277	0.205
124	01FB3B5A	0.1802	0.9779	0.3043
3627	18D07A1C	0.9706	0.7734	0.8609
937	03FE38B1	0.4593	0.8011	0.5839
1139	180B42EE	0.8478	0.8864	0.8667
8582	181C064E	0.9231	0.8182	0.8675
549	10C842B9	0.8654	0.9375	0.9
916	166577D6	0.2113	0.8443	0.338
4492	02DA47CC	0.437	0.8676	0.5813
4529	17DDF4DF	0.456	0.9565	0.6175
1568	182E01A7	0.819	0.9348	0.8731
3316	07FD64A4	0.2721	0.9524	0.4233
1753	156FFD32	0.8764	0.9286	0.9017
26	18FF21CA	0.1592	0.777	0.2642
439	18D348FA	0.4719	0.872	0.6124
9089	18C832A4	0.9113	0.8828	0.8968
17780	0139C992	0.4396	0.7895	0.5647
874	0F03ACE8	0.1605	0.8946	0.2722
19198	03A8DA84	0.4535	0.8342	0.5876
3500	16EEF309	0.2782	0.8952	0.4245
4938	0DF69D70	0.8661	0.97	0.9151
5146	19669A2B	0.8704	0.9792	0.9216
24493	07C2FDFB	0.8409	0.925	0.881
5669	197AB1E6	0.2706	0.8509	0.4106
985	17F4D4AD	0.9302	0.9091	0.9195
4554	19C6626A	0.9054	0.7976	0.8481
1901	1A1DEB0F	0.1971	0.8816	0.3221
19648	0BE0B5FC	0.9375	0.8654	0.9
4473	0FEF766B	0.2976	0.8105	0.4353
1641	152A2E58	0.9147	0.8939	0.9042
7	1613A549	0.4568	0.9042	0.607
1826	171AAB24	0.1916	0.9826	0.3207
4198	19D45DF4	0.9663	0.8269	0.8912
909	162D225D	0.2453	0.9028	0.3858
171	196DBA83	0.0849	0.8857	0.155
9106	19EF895A	0.9605	0.7604	0.8488
5496	02688F7C	0.9302	0.7692	0.8421
3494	16BA7FE5	0.6026	0.7833	0.6812
195	1821D36E	0.6	0.7813	0.6787
2433	19D03105	0.252	0.9353	0.3971
3376	16BA05A2	0.2784	0.9861	0.4343
4912	10B12BF4	0.3772	0.8516	0.5228
765	18C83573	0.457	0.8986	0.6059
984	0FFD4689	0.1562	0.9551	0.2685
55	19CADAEB	0.9189	0.85	0.8831
357	12AB9136	0.112	0.9938	0.2013
1116	16855CBA	0.4743	0.8646	0.6125
8113	0D33E674	0.4407	0.8426	0.5787
4841	168334D6	0.8105	0.9167	0.8603
3881	158F8A89	0.9079	0.9583	0.9324
4920	173FE950	0.4672	0.8	0.5899
5203	15687754	0.1876	0.9076	0.311
4416	10A982C8	0.2976	0.9531	0.4535
3573	13500486	0.1746	0.9158	0.2933
4907	06C987DA	0.3166	0.8289	0.4582
3144	1814E610	0.1614	0.92	0.2746
3456	12B5D94B	0.0584	0.8911	0.1096
595	117FD028	0.2454	0.9138	0.3869
2119	10A7128E	0.78	0.975	0.8667
458	19212B1C	0.3154	0.9048	0.4677
464	1932271B	0.8315	0.9737	0.897
5000	11545F99	0.1801	0.8056	0.2944
316	0BCC9D4D	0.1738	0.9671	0.2946
5729	18AEE8AA	0.1721	0.895	0.2887
1048	16E53199	0.0423	0.8113	0.0804
2846	0D69384A	0.8871	0.9821	0.9322
12350	0D812683	0.3034	0.9342	0.4581
5528	13A2D623	0.1487	0.9387	0.2568
3193	18D73E0F	0.2191	0.9261	0.3543
4426	1557FA1F	0.9167	0.825	0.8684
3159	184FDBE8	0.859	0.9306	0.8933
12108	044F9858	0.9318	0.9318	0.9318
893	111B9020	0.1762	0.9881	0.2991
2985	05A080D9	0.2884	0.9625	0.4438
7373	18136B36	0.8406	0.9667	0.8992
3211	0DDE7D2B	0.1225	0.9655	0.2175
4360	0F1106FD	0.4645	0.9153	0.6163
238	127AD720	0.8686	0.9268	0.8968
1169	195A7ED5	0.1975	0.8631	0.3215
5960	0E4069A0	0.1799	0.8947	0.2996
5770	15789CC6	0.2748	0.9242	0.4236
5137	164CB6CC	0.4126	0.9833	0.5813
26279	17E812AE	0.1715	0.8393	0.2848
4682	171B4015	0.1934	0.94	0.3208
1515	0F4113A4	0.7727	0.9808	0.8644
814	14EF15A7	0.95	0.8906	0.9194
5387	16E089B6	0.7765	0.9706	0.8627
1975	171EBECD	0.1606	0.9202	0.2734
987	192B8BAF	0.2203	0.9479	0.3576
4113	018BDF6F	0.1293	0.9485	0.2275
5928	1912FDE5	0.8485	0.9545	0.8984
897	114FA1A9	0.9388	0.7667	0.844
66	167D8112	0.1392	0.9533	0.2429
14770	165893D2	0.2644	0.959	0.4145
3828	0E1AAF0F	0.4128	0.8882	0.5637
3171	189760C2	0.2575	0.6818	0.3738
45	0B861C8B	0.8512	0.8879	0.8692
