FOLDER	AUTHOR	RECALL	F1	TOTALEDGES	REMOVEDEDGES	MARK
911	16350968	0.2143	0.1935	23	2	a
25765	0FC484F3	0.9281	0.3817	101	3	b
24493	07C2FDFB	0.925	0.881	12	1	a
3189	18C4BEED	0.9318	0.1941	139	6	c
9106	19EF895A	0.7604	0.8488	25	1	a
12108	044F9858	0.9318	0.9318	12	1	a
8397	02D5C465	0.9471	0.2763	81	4	b
7080	18B48EAB	0.875	0.4162	28	3	b
8113	0D33E674	0.8426	0.5787	62	2	a
12350	0D812683	0.9342	0.4581	45	3	b
22181	13855B1B	0.9545	0.672	28	1	a
5235	13435881	0.96	0.5378	35	2	a
24754	071326EE	0.9773	0.7544	19	1	a
18516	15614244	0.9167	0.8224	16	1	a
2700	15D2F42B	0.9423	0.7967	19	1	a
13098	0FF6D0FC	0.943	0.0848	122	11	c
24328	17F7CAB1	0.9259	0.3922	37	3	b
19648	0BE0B5FC	0.8654	0.9	14	1	a
9089	18C832A4	0.8828	0.8968	35	1	a
29093	168712D6	0.9844	0.7975	24	1	a
3891	0F0D126C	0.9821	0.2101	99	5	c
26263	0283943E	1.0	0.8421	14	1	a
21052	15569DD9	1.0	0.8224	16	1	a
3494	16BA7FE5	0.7833	0.6812	23	1	a
7373	18136B36	0.9667	0.8992	18	1	a
3976	11FF22A6	0.8986	0.3816	52	3	b
20075	014F9CB7	0.9597	0.2644	72	4	b
11868	1738E37E	0.9605	0.2789	49	5	c
3627	18D07A1C	0.7734	0.8609	46	1	a
7657	17881EF9	0.9318	0.7885	17	1	a
10051	1228311E	1.0	0.9043	16	1	a
10688	167719C1	0.8718	0.6004	43	2	a
11514	0B929AA4	0.8944	0.1165	126	9	c
14770	165893D2	0.959	0.4145	78	3	b
1220	0995D1AB	0.8519	0.8402	32	1	a
27106	05126C6D	0.9028	0.233	45	3	b
26279	17E812AE	0.8393	0.2848	48	5	c
1738	0FB923B1	0.9837	0.4072	61	3	b
17780	0139C992	0.7895	0.5647	44	2	a
19198	03A8DA84	0.8342	0.5876	104	2	a
17077	14476AF1	0.9875	0.4527	35	2	a
9073	16D1C3EE	0.9792	0.8868	16	1	a
14254	16A064C0	0.9091	0.1223	67	5	c
8675	19EBEA94	0.8636	0.8941	12	1	a
8582	181C064E	0.8182	0.8675	12	1	a
4304	01FF6BD9	0.8558	0.1621	75	8	c
19993	17BAD7E7	0.9375	0.1691	119	7	c
14320	1577975F	0.9022	0.5704	29	2	a
1862	15BA3431	0.8871	0.5714	37	2	a
16330	12406205	0.8846	0.8142	19	1	a
15368	181C4AA5	0.9259	0.5602	37	2	a
9826	159588A5	0.8705	0.1743	99	6	c
26	18FF21CA	0.777	0.2642	95	5	c
37	135FDE40	0.9808	0.5025	20	2	a
66	167D8112	0.9533	0.2429	183	5	c
22	1091080E	0.8833	0.9138	16	1	a
45	0B861C8B	0.8879	0.8692	36	1	a
76	19000B86	0.8417	0.603	97	2	a
80	15AABC54	0.95	0.608	22	1	a
65	15092A5A	0.9808	0.4834	23	2	a
75	12167874	0.8125	0.5778	14	2	a
55	19CADAEB	0.85	0.8831	11	1	a
149	0187D639	0.875	0.875	34	1	a
195	1821D36E	0.7813	0.6787	28	3	b
99	007633F3	0.9556	0.3185	82	4	b
171	196DBA83	0.8857	0.155	82	5	c
115	15E115C3	0.9595	0.322	50	4	b
94	08EAE577	0.955	0.3259	87	3	b
199	08F4DBAA	0.9615	0.9302	29	1	a
124	01FB3B5A	0.9779	0.3043	65	3	b
111	15C8589E	0.8864	0.7959	18	1	a
218	169CF351	0.7632	0.559	43	2	a
220	16F356F7	0.9551	0.0324	315	23	c
219	03267349	0.9464	0.5104	60	2	a
238	127AD720	0.9268	0.8968	47	1	a
254	16DD24D9	0.9405	0.458	35	2	a
224	163F214A	0.9464	0.8281	19	1	a
241	168FD11A	0.9214	0.4264	43	3	b
228	16066124	0.8571	0.5189	20	2	a
278	156AB3C7	0.9151	0.2414	68	6	c
304	16D41B03	0.9559	0.2323	83	5	c
378	17DB67AA	0.925	0.7184	17	1	a
346	176A5A55	0.9697	0.8678	42	1	a
357	12AB9136	0.9938	0.2013	84	5	c
352	1A003653	0.9722	0.5983	32	2	a
303	16D28D60	0.9615	0.8547	17	1	a
316	0BCC9D4D	0.9671	0.2946	76	3	b
320	171CC4C3	0.9297	0.4969	46	3	b
366	17BF25AE	1.0	0.2312	40	3	b
410	00A21A99	0.9464	0.9138	16	1	a
458	19212B1C	0.9048	0.4677	33	3	b
475	1964970A	0.8936	0.2023	70	6	c
464	1932271B	0.9737	0.897	29	1	a
472	194C9461	0.95	0.6104	24	2	a
438	0D8E405E	0.9129	0.4825	99	2	a
400	183A6C72	0.9792	0.8868	15	1	a
433	0D78483C	0.8889	0.2963	50	3	b
439	18D348FA	0.872	0.6124	44	2	a
495	0E8EA11D	0.913	0.5619	29	2	a
539	1581CC22	0.9565	0.3955	47	2	a
562	15C4B1A2	0.9022	0.5704	31	2	a
492	0E823258	0.9074	0.3403	43	3	b
547	10B1DD3B	0.8864	0.3949	42	2	a
541	15921225	0.9565	0.5696	29	2	a
580	11482582	0.9184	0.3758	69	3	b
549	10C842B9	0.9375	0.9	14	1	a
496	0E8FDE7D	0.9528	0.1998	119	7	c
617	169EE44E	0.9677	0.8136	45	1	a
618	0B35EBF6	0.9734	0.4183	60	3	b
676	1A0EFE5C	0.9583	0.303	85	4	b
652	09194096	0.9167	0.5009	52	2	a
595	117FD028	0.9138	0.3869	79	3	b
637	16DA5474	0.875	0.565	23	2	a
675	1A0D31AA	0.8276	0.8458	34	1	a
765	18C83573	0.8986	0.6059	41	2	a
727	1814017F	0.9205	0.2365	53	3	b
758	18A4AA37	0.8995	0.1996	136	6	c
729	137753FD	0.9286	0.856	35	1	a
746	1898619F	1.0	0.7477	17	1	a
770	18FBA52E	0.9792	0.5109	36	1	a
696	17B6A078	0.7743	0.4272	81	3	b
773	14222CBD	0.95	0.7835	15	1	a
761	18B32D1E	0.9224	0.4662	46	2	a
867	10BDBABD	0.8929	0.8547	17	1	a
909	162D225D	0.9028	0.3858	37	2	a
936	16BD957F	0.7981	0.7943	32	1	a
813	14E978BD	1.0	0.612	32	1	a
801	01C2C951	0.9688	0.8078	48	1	a
887	0A884F50	0.7632	0.8467	20	1	a
963	183699C0	0.9432	0.5561	57	2	a
999	1A1A07B6	0.9792	0.1519	77	4	b
991	193DA15C	0.9833	0.2046	81	5	c
960	18DFB9B9	0.875	0.8974	12	1	a
874	0F03ACE8	0.8946	0.2722	128	4	b
948	198B3AB1	0.9423	0.5355	20	2	a
968	0FCA1ABA	0.9792	0.8545	17	1	a
966	10015A90	0.9	0.7912	15	1	a
996	15348DC9	0.8654	0.8036	17	1	a
947	1A1F43DC	0.8906	0.2961	36	3	b
939	16C3A769	1.0	0.8727	16	1	a
883	15BEFD9F	0.9348	0.4019	32	3	b
1000	0D41E825	0.9561	0.2282	76	6	c
905	116B301F	0.7823	0.4565	49	3	b
799	1996A237	0.9891	0.4472	28	3	b
919	167836DA	0.9167	0.4516	35	2	a
984	0FFD4689	0.9551	0.2685	84	3	b
815	19AC65DA	0.9167	0.5227	45	2	a
987	192B8BAF	0.9479	0.3576	109	3	b
833	1521D469	0.939	0.3632	63	3	b
985	17F4D4AD	0.9091	0.9195	12	1	a
937	03FE38B1	0.8011	0.5839	48	2	a
807	14D98C8C	0.9408	0.1254	83	7	c
814	14EF15A7	0.8906	0.9194	17	1	a
916	166577D6	0.8443	0.338	93	3	b
838	0EBB88C8	0.9464	0.7361	24	1	a
943	127D02D7	0.9545	0.2143	62	3	b
993	13AD0C36	0.9762	0.221	44	4	b
911	16350968	0.2143	0.1935	23	2	a
886	15C99005	0.9643	0.518	44	2	a
828	19E3D17F	0.9265	0.5362	23	2	a
816	0E6A1906	0.9706	0.8199	24	1	a
832	151D3EE6	0.9	0.9114	11	1	a
926	03AD248F	0.8269	0.4599	21	2	a
918	0FE83187	0.9063	0.4774	25	2	a
880	15AD1950	0.9091	0.678	23	1	a
977	0D8B4191	0.95	0.8941	12	1	a
897	114FA1A9	0.7667	0.844	16	1	a
908	162B613E	0.8977	0.4041	43	2	a
973	1689989C	0.7571	0.8514	36	1	a
793	19590F26	0.9643	0.7448	23	1	a
893	111B9020	0.9881	0.2991	41	3	b
2342	0EC7C027	0.8333	0.8439	69	1	a
2101	0D741CFE	1.0	0.2513	71	4	b
2968	1871BE4E	1.0	0.7598	28	1	a
2619	0E0F3F7E	0.9	0.8	14	1	a
1493	168A0E89	0.95	0.2734	40	3	b
1781	109380AA	0.8704	0.1311	73	8	c
1164	1721106A	0.95	0.8906	18	1	a
1975	171EBECD	0.9202	0.2734	119	5	c
2096	18C0E43F	0.8873	0.5644	85	2	a
2218	15F6AECF	0.9643	0.5078	37	2	a
1753	156FFD32	0.9286	0.9017	25	1	a
2614	1974CA85	0.9773	0.9149	13	1	a
